################ TRAINING REPORT #################
# Images path   | ./dataset/fabric/side64/training/
# Validation    | 0.30
# Images size   | (64,64)
# Architecure   | fabric
# Bacth Size    | 64
# Snap/Epoch    | 5
# Max epochs    | 10000
# Eval Criteria | 0.75
##################################################
train,trainNC,val,valNC,test,testNC,time,new_best
70.56,95.61,69.70,94.52,69.70,96.54,351.08,False
70.62,95.86,70.13,94.66,69.70,97.40,353.28,True
70.69,95.79,70.13,94.66,69.70,97.40,355.50,False
70.87,95.98,70.13,94.66,69.70,97.40,357.80,False
70.87,96.04,70.27,94.52,69.70,97.40,360.07,True
70.93,96.29,70.27,94.81,69.70,97.40,362.38,False
71.06,96.23,70.42,95.09,69.70,97.40,364.68,True
71.30,96.17,70.85,94.52,69.70,96.97,366.88,True
71.37,96.10,70.85,94.81,69.70,96.97,369.12,False
71.43,96.41,70.85,94.81,69.70,97.40,371.41,False
71.43,96.35,70.85,94.66,69.70,96.97,373.64,False
71.55,96.35,71.00,95.09,69.70,96.97,375.86,True
71.55,96.66,71.00,95.24,69.70,97.40,378.09,False
71.61,96.72,71.00,95.09,70.13,96.97,380.39,False
71.80,96.72,71.00,94.95,70.13,96.97,382.72,False
71.86,96.41,71.43,94.95,70.13,97.40,384.95,True
72.11,96.35,71.86,94.95,70.56,97.40,387.21,True
72.29,96.66,71.86,95.09,71.00,97.40,389.31,False
72.36,96.47,72.01,95.09,70.56,97.40,391.55,True
72.29,96.78,72.15,95.09,71.00,97.40,393.72,True
72.29,96.91,72.15,95.24,71.00,97.40,395.91,False
72.36,97.03,72.44,95.38,71.00,97.40,398.11,True
72.54,96.97,72.44,95.24,71.00,97.40,400.37,False
72.73,97.03,72.44,95.96,71.00,97.40,402.61,False
72.60,96.97,72.44,95.24,71.00,97.40,404.87,False
72.85,97.03,72.73,95.24,71.00,97.40,407.11,True
72.97,97.46,73.02,95.38,71.43,97.40,409.32,True
73.16,97.34,72.73,95.82,71.00,97.40,411.58,False
73.16,97.40,73.02,95.38,71.00,97.40,413.82,False
73.53,97.53,73.30,95.53,71.43,97.40,416.07,True
73.59,97.46,73.16,96.10,71.00,97.40,418.31,False
73.96,97.59,73.59,95.96,71.43,97.40,420.53,True
73.96,97.65,73.74,95.38,71.43,97.40,422.84,True
74.03,97.77,73.74,95.82,71.43,97.40,425.08,False
74.52,97.59,73.74,96.39,71.86,97.40,427.24,False
74.64,97.77,73.88,95.67,71.43,97.40,429.51,True
74.95,97.90,74.17,95.96,72.73,97.40,431.78,True
74.71,97.90,74.03,96.54,71.86,97.40,434.07,False
75.08,97.96,74.31,96.39,72.73,97.40,436.39,True
75.20,97.96,74.46,96.10,72.73,97.40,438.76,True
75.39,97.90,74.46,96.25,73.16,97.40,441.00,False
75.82,97.96,74.60,96.54,73.16,97.40,443.34,True
75.94,98.08,74.75,96.68,73.16,97.40,445.53,True
76.19,97.90,75.32,96.54,73.59,97.40,448.04,True
76.31,97.90,75.18,96.39,74.03,97.40,450.41,False
76.38,98.08,76.19,96.54,74.03,97.40,452.69,True
76.75,98.02,76.19,96.54,74.03,97.40,454.93,False
76.50,98.08,76.19,96.83,74.03,97.84,457.29,True
76.62,98.08,76.33,96.83,74.03,97.84,459.63,True
76.75,98.14,76.62,96.54,74.03,97.84,461.92,True
77.18,98.14,76.77,96.68,74.03,97.40,464.16,True
77.55,98.21,76.91,96.97,74.03,97.40,466.46,True
77.61,98.21,76.77,96.83,74.46,97.84,468.74,False
77.86,98.21,76.91,96.54,74.46,97.84,470.99,False
77.74,98.45,76.91,96.83,74.89,97.84,473.23,False
77.92,98.39,77.20,96.97,74.46,97.84,475.56,True
78.48,98.33,77.63,96.97,75.32,97.40,477.90,True
78.60,98.39,77.78,96.83,75.76,97.84,480.15,True
78.73,98.39,78.21,96.83,75.76,97.84,482.43,True
79.41,98.33,78.35,96.83,76.62,97.40,484.77,True
79.28,98.58,78.93,96.83,77.06,97.84,487.00,True
79.34,98.52,78.79,96.97,77.49,97.84,489.30,False
79.84,98.70,78.79,96.83,77.92,97.84,491.54,False
80.33,98.58,79.08,96.83,77.92,97.84,493.76,True
80.46,98.64,79.37,97.11,79.22,97.84,496.08,True
80.58,98.64,79.37,96.83,79.22,97.84,498.38,False
80.89,98.70,79.51,97.11,79.65,97.84,500.67,True
81.08,98.70,79.80,96.97,79.22,97.84,502.91,True
81.26,98.70,79.65,96.97,79.65,97.84,505.22,False
81.45,98.70,80.09,96.97,79.22,97.40,507.42,True
81.63,98.70,80.23,96.97,79.65,97.84,509.72,True
81.94,98.70,80.52,96.83,80.09,97.84,512.08,True
81.88,98.76,80.09,96.97,80.52,98.27,514.36,True
82.07,98.76,80.52,96.97,80.52,98.27,516.56,False
